Player_ID,Position
1628972,Guard-Forward
1628990,Forward-Guard
1628984,Guard
1628960,Guard
1628413,Forward
1629021,Forward-Center
1628977,Guard
1628975,Guard
1629151,Guard-Forward
1629140,Forward
1628966,Forward
1629109,Forward
202954,Guard
1628515,Guard
1629004,Guard-Forward
1628978,Guard
1628417,Forward
1629010,Guard
1629121,Guard
1629244,Forward
1629003,Guard-Forward
1629126,Guard-Forward
1629057,Center-Forward
1629033,Guard-Forward
1629014,Guard
1629102,Guard
1629017,Guard
1629034,Forward
1628392,Center-Forward
1629002,Forward-Center
1629130,Forward
1629094,Forward
1629022,Guard-Forward
1629234,Forward-Center
1629018,Guard
1628980,Guard-Forward
1627395,Forward-Guard
1629015,Guard
1629045,Forward
1629139,Guard-Forward
1628959,Guard
1629541,Guard
1629061,Forward
1629123,Guard
1629133,Guard
1628070,Guard
1628518,Forward
1629203,Forward
1628656,Guard-Forward
1629020,Forward
1629168,Forward
1629164,Guard
1628249,Forward-Guard
1629058,Guard-Forward
1629067,Guard
1629118,Center
1629353,Center
1628982,Guard-Forward
1628993,Forward
1629150,Forward
1628505,Guard
1629312,Forward
1628605,Guard
1629152,Guard-Forward
1629185,Guard
1629122,Guard
1628979,Guard
1628769,Guard
1629116,Center
1626296,Guard
1629053,Forward
1629147,Guard
1628961,Forward
1628999,Forward
1629055,Forward
1628994,Forward-Guard
1629093,Center
1629155,Guard
1629630,Guard
1629134,Guard
1629632,Guard
1629672,Forward
1629628,Forward-Guard
1629631,Forward-Guard
1629639,Guard
1629636,Guard
1629023,Forward
1629634,Forward
1629060,Forward
1629629,Forward-Guard
1629633,Guard-Forward
1629056,Guard
1629627,Forward
1629008,Forward
1629661,Forward
1629673,Guard
1629645,Guard-Forward
1629637,Center-Forward
1629740,Forward
1629647,Forward
1629065,Guard
1629680,Guard-Forward
1629675,Center-Forward
1629638,Guard
1629652,Guard
1629635,Forward
1628981,Forward-Center
1628998,Forward
1629684,Forward
1629162,Guard
1629655,Forward-Center
1629744,Guard
1629103,Forward
1629741,Guard
1629048,Center-Forward
1629642,Forward-Guard
1629750,Guard
1629598,Guard
1628394,Center-Forward
1629640,Forward-Guard
1629735,Forward
1629035,Guard
1628997,Forward
1629660,Guard-Forward
1629678,Forward
1629611,Guard-Forward
1629726,Guard
1629667,Forward
1629713,Guard-Forward
1629641,Guard-Forward
1628539,Guard
1629308,Forward
1629651,Center
1629725,Guard
1629117,Forward
1629730,Guard
1629346,Forward
1629599,Guard-Forward
1629669,Guard
203658,Center
1629723,Guard
1629610,Guard-Forward
1629662,Center
1629738,Center-Forward
1629626,Center-Forward
1629682,Guard
1629743,Center
1629658,Forward
1629052,Forward-Guard
1629752,Forward
1629671,Guard-Forward
1629659,Guard
1629690,Guard
1628778,Guard
1626187,Guard
1629714,Forward
1629605,Center
1629076,Forward
1629216,Guard
1629718,Guard
1629731,Forward-Center
1628985,Guard
1629663,Forward
1629625,Guard
1629649,Forward
1628987,Forward
1628427,Forward
1629677,Forward
1629724,Forward
1629608,Center-Forward
1628430,Guard
1629620,Guard
1629648,Guard
1629683,Guard
1629597,Forward
1629621,Guard-Forward
1629650,Center
1629665,Guard
1629668,Guard-Forward
1629044,Guard
1629729,Guard-Forward
1629644,Forward-Guard
1628968,Forward-Guard
1629719,Forward
1628450,Center-Forward
1629622,Guard-Forward
1629657,Guard
1629745,Forward
1629607,Guard
1629734,Forward-Center
1629005,Guard
1629760,Guard
1629676,Forward
1629716,Center
1629742,Forward
1629739,Forward-Guard
1630162,Guard
1630180,Guard-Forward
1630163,Guard
1630256,Forward
1630169,Guard
1630193,Guard
1630177,Guard
1630172,Forward
1630171,Forward-Guard
1630217,Guard
1630175,Guard
1630191,Forward-Center
1630202,Guard
1630178,Guard
1630164,Center
1630183,Forward
1630231,Forward
1630267,Guard
1630214,Forward
1630197,Forward
1630181,Guard
1630201,Guard
1629643,Forward
1630184,Guard
1630166,Forward
1630170,Guard-Forward
1630173,Forward
1630240,Guard
1630167,Forward
1630230,Forward
1630168,Forward-Center
1629717,Guard
1630174,Guard-Forward
1630165,Guard
1629670,Forward
1630222,Guard
1630205,Forward
1629685,Guard-Forward
1630198,Guard
1630192,Forward-Center
1630237,Forward
1630271,Guard
1630233,Forward-Center
1630219,Guard
1630185,Guard
1630273,Center
1630210,Guard
1630182,Guard
1630223,Guard
1630200,Guard
1630241,Guard
1630194,Forward
1630235,Guard
1630221,Forward
1630466,Forward
1630264,Forward
1629617,Forward-Center
1629604,Forward-Guard
1629681,Forward-Center
1630187,Center
1630188,Forward-Center
1629751,Guard
1630176,Center
1629603,Forward
1628419,Forward
1629606,Forward
1630216,Guard
1629686,Forward-Guard
1630207,Guard-Forward
1630186,Guard
1630253,Forward
1630199,Guard
1630206,Guard
1629962,Guard
1630190,Guard
1629653,Guard
1629007,Center-Forward
1630218,Forward
1630203,Guard
1630189,Forward
1629091,Guard
1628962,Center-Forward
1630208,Center
1628578,Center
1629833,Guard
1630211,Guard
1630179,Guard
1630268,Guard
1630234,Guard
1629712,Guard
1630238,Forward
1630204,Guard-Forward
204222,Forward
1630266,Center
1630532,Forward
1630224,Guard
1630567,Forward-Guard
1630595,Guard
1630596,Center
1630558,Guard
1630529,Forward
1630537,Guard
1630538,Guard
1630578,Center
1630245,Guard
1630581,Guard
1630228,Forward
1630557,Forward
1630544,Guard
1630528,Guard
1630560,Guard
1630591,Guard
1630533,Forward
1630613,Guard
1630559,Guard
1630598,Guard
1630526,Forward
1630570,Forward
1630527,Guard
1630530,Forward
1630631,Guard
1630678,Forward
1630314,Guard
1630209,Center
1630543,Forward
1630563,Guard
1630556,Forward
1629656,Guard
1630553,Guard
1629111,Center
1630541,Guard
1630535,Forward
1630625,Forward
1630322,Forward
1630549,Center
1630249,Guard
1630568,Center
1626208,Guard
1630215,Guard
1630572,Forward-Center
1630846,Center
1630547,Guard
1630583,Forward-Center
1630587,Forward
1630688,Forward
1630561,Guard
1630579,Center
1630540,Guard
1630686,Forward
1630551,Guard-Forward
1629623,Guard
1630296,Forward
1630227,Guard
1630792,Forward
1629646,Center-Forward
1630550,Forward
1630573,Forward
1630580,Guard-Forward
1629875,Guard
1630552,Forward
1630606,Guard
1629755,Guard
1630691,Forward
1630195,Forward
1630586,Forward
1629674,Center
1630285,Guard
1630243,Guard
1630698,Guard
1630602,Forward
1630539,Center-Forward
1630225,Forward
1630288,Guard
1630250,Center
1630612,Guard
1630758,Forward
1630787,Forward
1627822,Forward
1630994,Guard
1630585,Guard
1629619,Guard
1630582,Forward
1630695,Center
1628221,Guard
1630644,Guard
1630647,Forward
1630536,Guard
1628591,Guard
1628238,Forward
1630286,Forward
1630648,Guard
1630593,Guard
1630589,Forward
1630270,Forward
1630637,Guard
1630346,Forward
1630306,Guard
1630565,Forward
1629958,Guard
1630531,Guard
1629600,Guard
1630555,Guard
1629783,Guard
1630575,Guard
1630278,Guard
1629083,Forward
1627760,Guard
1630525,Guard
1630610,Guard
1630624,Forward
1630605,Guard
1630693,Center
1629602,Center
1630643,Center
1629873,Guard
1630257,Center
1630692,Guard
1630640,Guard
1629309,Guard
1629788,Guard
1631094,Forward
1631097,Guard-Forward
1631093,Guard
1631114,Guard-Forward
1631095,Forward
1631099,Forward
1631101,Guard
1631106,Forward
1629614,Guard-Forward
1631117,Center
1631103,Forward
1631100,Forward
1631110,Forward
1631105,Center
1630534,Guard
1631223,Forward
1630702,Guard
1631109,Center
1631128,Guard
1631323,Forward
1631119,Forward
1630699,Forward
1631121,Guard
1630700,Guard
1631133,Forward
1631216,Guard
1631172,Forward
1631104,Guard
1631132,Center
1630577,Forward
1631098,Guard
1631260,Guard
1631102,Guard
1630284,Guard
1631108,Guard
1631116,Forward
1631254,Forward
1631115,Center
1631230,Forward
1631222,Forward
1631288,Forward
1630548,Guard
1631207,Forward
1631107,Forward
1631113,Guard
1631212,Guard
1631217,Forward
1630639,Guard
1631245,Guard
1631466,Guard
1631169,Forward
1631197,Guard
1631219,Forward
1630696,Guard
1631111,Guard
1630554,Guard
1641645,Forward
1630600,Forward
1631246,Guard
1631160,Guard
1631165,Guard
1631157,Guard
1631298,Forward
1631213,Guard
1631199,Guard-Forward
1631120,Guard
1631303,Forward
1631205,Forward
1630564,Forward
1630620,Forward
1631123,Guard
1630590,Guard
1631311,Guard
1631306,Forward
1631112,Guard
1631309,Guard
1628435,Center
1631220,Guard
1631495,Guard
1631367,Guard
1631211,Guard
1631320,Forward
1630649,Guard
1631214,Guard
1630701,Forward
