PLAYER_ID,PLAYER,TEAM_ID,TEAM,GP,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PTS,EFF,AST_TOV,PPG,RPG,APG,SPG,BPG,TPG,YEAR,POSITION,season_start_year,WinPCT,Start_Year,TeamID,is_all_nba
203552,Seth Curry,1610612742,DAL,15,0.379,0.344,0.857,20,13,8,2,4,61,63,3.25,4.066666666666666,1.3333333333333333,0.8666666666666667,0.5333333333333333,0.13333333333333333,0.26666666666666666,2023-24,Guard,2023,0.579,2023,1610612742,False
1626158,Richaun Holmes,1610612742,DAL,10,0.5,0.0,0.417,39,5,1,5,6,29,54,0.83,2.9,3.9,0.5,0.1,0.5,0.6,2023-24,Forward,2023,0.579,2023,1610612742,False
1628467,Maxi Kleber,1610612742,DAL,5,0.25,0.333,0.6,21,10,1,1,4,17,30,2.5,3.4,4.2,2.0,0.2,0.2,0.8,2023-24,Forward,2023,0.579,2023,1610612742,False
1641765,Olivier-Maxence Prosper,1610612742,DAL,9,0.25,0.1,0.667,10,4,1,0,0,17,16,0.0,1.8888888888888888,1.1111111111111112,0.4444444444444444,0.1111111111111111,0.0,0.0,2023-24,Forward,2023,0.579,2023,1610612742,False
1630639,A.J. Lawson,1610612742,DAL,2,0.364,0.375,0.5,1,2,0,1,0,13,8,0.0,6.5,0.5,1.0,0.0,0.5,0.0,2023-24,Guard,2023,0.579,2023,1610612742,False
202693,Markieff Morris,1610612742,DAL,3,0.231,0.25,0.0,4,2,0,0,0,8,4,0.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,2023-24,Forward,2023,0.579,2023,1610612742,False
1641926,Dexter Dennis,1610612742,DAL,2,0.333,0.0,0.0,2,0,0,0,0,4,1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2023-24,Guard,2023,0.579,2023,1610612742,False
1628369,Jayson Tatum,1610612738,BOS,20,0.499,0.357,0.792,177,83,22,7,67,552,552,1.24,27.6,8.85,4.15,1.1,0.35,3.35,2023-24,Forward-Guard,2023,0.75,2023,1610612738,False
1627759,Jaylen Brown,1610612738,BOS,19,0.459,0.338,0.699,98,61,23,13,47,422,356,1.3,22.210526315789473,5.157894736842105,3.210526315789474,1.2105263157894737,0.6842105263157895,2.473684210526316,2023-24,Guard-Forward,2023,0.75,2023,1610612738,False
204001,Kristaps Porzingis,1610612738,BOS,15,0.547,0.324,0.8,100,28,10,25,19,284,331,1.47,18.933333333333334,6.666666666666667,1.8666666666666667,0.6666666666666666,1.6666666666666667,1.2666666666666666,2023-24,Forward-Center,2023,0.75,2023,1610612738,False
1628401,Derrick White,1610612738,BOS,17,0.465,0.389,0.867,66,90,18,14,33,247,303,2.73,14.529411764705882,3.8823529411764706,5.294117647058823,1.0588235294117647,0.8235294117647058,1.9411764705882353,2023-24,Guard,2023,0.75,2023,1610612738,False
201950,Jrue Holiday,1610612738,BOS,18,0.421,0.373,0.821,129,91,12,16,39,220,310,2.33,12.222222222222221,7.166666666666667,5.055555555555555,0.6666666666666666,0.8888888888888888,2.1666666666666665,2023-24,Guard,2023,0.75,2023,1610612738,False
1630573,Sam Hauser,1610612738,BOS,20,0.476,0.452,0.875,72,17,10,7,12,200,218,1.42,10.0,3.6,0.85,0.5,0.35,0.6,2023-24,Forward,2023,0.75,2023,1610612738,False
201143,Al Horford,1610612738,BOS,18,0.481,0.354,1.0,119,51,9,19,18,132,257,2.83,7.333333333333333,6.611111111111111,2.8333333333333335,0.5,1.0555555555555556,1.0,2023-24,Center-Forward,2023,0.75,2023,1610612738,False
1630202,Payton Pritchard,1610612738,BOS,20,0.375,0.316,0.769,64,58,7,0,11,124,164,5.27,6.2,3.2,2.9,0.35,0.0,0.55,2023-24,Guard,2023,0.75,2023,1610612738,False
1628436,Luke Kornet,1610612738,BOS,15,0.784,0.0,0.8,51,9,8,13,6,66,131,1.5,4.4,3.4,0.6,0.5333333333333333,0.8666666666666667,0.4,2023-24,Center-Forward,2023,0.75,2023,1610612738,False
1630625,Dalano Banton,1610612738,BOS,10,0.481,0.143,0.833,25,5,2,2,5,32,46,1.0,3.2,2.5,0.5,0.2,0.2,0.5,2023-24,Forward,2023,0.75,2023,1610612738,False
1629004,Svi Mykhailiuk,1610612738,BOS,8,0.353,0.286,0.0,5,1,3,0,4,16,10,0.25,2.0,0.625,0.125,0.375,0.0,0.5,2023-24,Guard-Forward,2023,0.75,2023,1610612738,False
1629052,Oshae Brissett,1610612738,BOS,8,0.176,0.111,0.583,21,3,4,0,2,14,21,1.5,1.75,2.625,0.375,0.5,0.0,0.25,2023-24,Forward-Guard,2023,0.75,2023,1610612738,False
1629674,Neemias Queta,1610612738,BOS,3,0.4,0.0,0.8,17,0,1,0,2,12,21,0.0,4.0,5.666666666666667,0.0,0.3333333333333333,0.0,0.6666666666666666,2023-24,Center,2023,0.75,2023,1610612738,False
1630205,Lamar Stevens,1610612738,BOS,6,0.571,1.0,0.0,6,2,1,1,3,9,13,0.67,1.5,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,2023-24,Forward,2023,0.75,2023,1610612738,False
1628983,Shai Gilgeous-Alexander,1610612760,OKC,18,0.538,0.365,0.939,103,113,44,16,39,538,599,2.9,29.88888888888889,5.722222222222222,6.277777777777778,2.4444444444444446,0.8888888888888888,2.1666666666666665,2023-24,Guard,2023,0.684,2023,1610612760,False
1631096,Chet Holmgren,1610612760,OKC,19,0.531,0.395,0.865,152,50,18,42,37,334,444,1.35,17.57894736842105,8.0,2.6315789473684212,0.9473684210526315,2.210526315789474,1.9473684210526316,2023-24,Center-Forward,2023,0.684,2023,1610612760,False
1631114,Jalen Williams,1610612760,OKC,16,0.505,0.36,0.875,66,62,12,5,30,282,287,2.07,17.625,4.125,3.875,0.75,0.3125,1.875,2023-24,Guard-Forward,2023,0.684,2023,1610612760,False
1630581,Josh Giddey,1610612760,OKC,19,0.427,0.31,0.778,109,79,14,9,51,228,252,1.55,12.0,5.7368421052631575,4.157894736842105,0.7368421052631579,0.47368421052631576,2.6842105263157894,2023-24,Guard,2023,0.684,2023,1610612760,False
1630198,Isaiah Joe,1610612760,OKC,19,0.458,0.46,0.833,48,23,16,6,9,202,205,2.56,10.631578947368421,2.526315789473684,1.2105263157894737,0.8421052631578947,0.3157894736842105,0.47368421052631576,2023-24,Guard,2023,0.684,2023,1610612760,False
1629652,Luguentz Dort,1610612760,OKC,19,0.443,0.407,0.775,78,25,18,15,19,196,221,1.32,10.31578947368421,4.105263157894737,1.3157894736842106,0.9473684210526315,0.7894736842105263,1.0,2023-24,Guard,2023,0.684,2023,1610612760,False
1641717,Cason Wallace,1610612760,OKC,19,0.598,0.525,0.846,45,26,10,7,10,142,181,2.6,7.473684210526316,2.3684210526315788,1.368421052631579,0.5263157894736842,0.3684210526315789,0.5263157894736842,2023-24,Guard,2023,0.684,2023,1610612760,False
1630598,Aaron Wiggins,1610612760,OKC,17,0.58,0.45,0.706,36,13,6,1,9,79,100,1.44,4.647058823529412,2.1176470588235294,0.7647058823529411,0.35294117647058826,0.058823529411764705,0.5294117647058824,2023-24,Guard,2023,0.684,2023,1610612760,False
1631119,Jaylin Williams,1610612760,OKC,14,0.393,0.364,0.875,54,22,5,2,6,63,105,3.67,4.5,3.857142857142857,1.5714285714285714,0.35714285714285715,0.14285714285714285,0.42857142857142855,2023-24,Forward,2023,0.684,2023,1610612760,False
1629026,Kenrich Williams,1610612760,OKC,9,0.541,0.533,0.375,27,16,4,0,3,51,73,5.33,5.666666666666667,3.0,1.7777777777777777,0.4444444444444444,0.0,0.3333333333333333,2023-24,Guard-Forward,2023,0.684,2023,1610612760,False
1631172,Ousmane Dieng,1610612760,OKC,12,0.351,0.269,0.75,22,11,1,0,4,36,41,2.75,3.0,1.8333333333333333,0.9166666666666666,0.08333333333333333,0.0,0.3333333333333333,2023-24,Forward,2023,0.684,2023,1610612760,False
